Product_ID	CurrencyKey	UnitCost	SCD_EffectiveDate
0101010101001           	23	43.1222	2012-10-01
0101010101002           	23	43.1222	2012-10-01
0101010101003           	23	48.2031	2012-10-01
0101010101004           	23	71.6532	2012-10-01
0101010101005           	23	71.6532	2012-10-01
0101010101006           	23	71.6532	2012-10-01
0101010101007           	23	71.6532	2012-10-01
0101010101008           	23	199.1959	2012-10-01
0101010101009           	23	199.1959	2012-10-01
0101010101010           	23	199.1959	2012-10-01
0101010101011           	23	199.1959	2012-10-01
0101010101012           	23	232.6774	2012-10-01
0101010101013           	23	232.6774	2012-10-01
0101010101014           	23	232.6774	2012-10-01
0101010101015           	23	232.6774	2012-10-01
0101010101016           	23	319.7516	2012-10-01
0101010101017           	23	319.7516	2012-10-01
0101010101018           	23	319.7516	2012-10-01
0101010101019           	23	319.7516	2012-10-01
0101010101020           	23	389.6972	2012-10-01
0101010101021           	23	389.6972	2012-10-01
0101010101022           	23	389.6972	2012-10-01
0101010101023           	23	389.6972	2012-10-01
0101010101029           	23	534.3317	2012-10-01
0101010101030           	23	534.3317	2012-10-01
0101010101031           	23	534.3317	2012-10-01
0101010101032           	23	534.3317	2012-10-01
0101010101033           	23	534.3317	2012-10-01
0101010101034           	23	309.3799	2012-10-01
0101010101035           	23	309.3799	2012-10-01
0101010101036           	23	309.3799	2012-10-01
0101010101037           	23	645.7906	2012-10-01
0101010101038           	23	645.7906	2012-10-01
0101010101039           	23	645.7906	2012-10-01
0101010101040           	23	645.7906	2012-10-01
0101040104001           	23	497.9896	2012-10-01
0101040104002           	23	497.9896	2012-10-01
0101040104003           	23	497.9896	2012-10-01
0101040104004           	23	598.9555	2012-10-01
0101040104005           	23	598.9555	2012-10-01
0101040104006           	23	598.9555	2012-10-01
0101040104007           	23	598.9555	2012-10-01
0101040104008           	23	620.2143	2012-10-01
0101040104009           	23	620.2143	2012-10-01
0101040104010           	23	620.2143	2012-10-01
0101040104011           	23	620.2143	2012-10-01
0101040104012           	23	502.9636	2012-10-01
0101040104013           	23	502.9636	2012-10-01
0101040104014           	23	502.9636	2012-10-01
0101040104015           	23	502.9636	2012-10-01
0101060106001           	23	85.3324	2012-10-01
0101060106002           	23	85.3324	2012-10-01
0101060106003           	23	85.3324	2012-10-01
0101060106004           	23	85.3324	2012-10-01
0101060106005           	23	143.6321	2012-10-01
0101060106006           	23	143.6321	2012-10-01
0101060106007           	23	143.6321	2012-10-01
0101060106008           	23	143.6321	2012-10-01
0101060106009           	23	110.3573	2012-10-01
0101060106010           	23	113.668	2012-10-01
0101060106011           	23	113.668	2012-10-01
0101060106012           	23	113.668	2012-10-01
0101060106013           	23	121.4847	2012-10-01
0101060106014           	23	121.4847	2012-10-01
0101060106015           	23	121.4847	2012-10-01
0101060106016           	23	121.4847	2012-10-01
0101060106017           	23	121.4847	2012-10-01
0101060106018           	23	290.7867	2012-10-01
0101060106019           	23	290.7867	2012-10-01
0101060106020           	23	290.7867	2012-10-01
0101060106021           	23	290.7867	2012-10-01
0101060106022           	23	290.7867	2012-10-01
0101060106023           	23	314.2495	2012-10-01
0101060106024           	23	314.2495	2012-10-01
0101060106025           	23	314.2495	2012-10-01
0101060106026           	23	314.2495	2012-10-01
0101060106027           	23	314.2495	2012-10-01
0101060106028           	23	223.8185	2012-10-01
0101060106029           	23	223.8185	2012-10-01
0101060106030           	23	223.8185	2012-10-01
0101060106031           	23	223.8185	2012-10-01
0101060106032           	23	223.8185	2012-10-01
0101060106037           	23	334.4237	2012-10-01
0101060106038           	23	334.4237	2012-10-01
0101060106039           	23	334.4237	2012-10-01
0101060106040           	23	334.4237	2012-10-01
0101060106046           	23	523.8335	2012-10-01
0101060106047           	23	523.8335	2012-10-01
0101060106048           	23	523.8335	2012-10-01
0101060106049           	23	523.8335	2012-10-01
0101060106050           	23	523.8335	2012-10-01
0202010201001           	23	564.562	2012-10-01
0202010201002           	23	564.562	2012-10-01
0202010201003           	23	564.562	2012-10-01
0202010201004           	23	398.4569	2012-10-01
0202010201005           	23	398.4569	2012-10-01
0202010201006           	23	398.4569	2012-10-01
0202010201007           	23	838.7331	2012-10-01
0202010201008           	23	838.7331	2012-10-01
0202010201009           	23	838.7331	2012-10-01
0202010201010           	23	476.2331	2012-10-01
0202010201011           	23	476.2331	2012-10-01
0202010201012           	23	476.2331	2012-10-01
0202010201013           	23	476.2331	2012-10-01
0202010201014           	23	664.225	2012-10-01
0202010201015           	23	664.225	2012-10-01
0202010201016           	23	664.225	2012-10-01
0202010201017           	23	664.225	2012-10-01
0202010201018           	23	1048.2861	2012-10-01
0202010201019           	23	1048.2861	2012-10-01
0202010201020           	23	1048.2861	2012-10-01
0202010201021           	23	1048.2861	2012-10-01
0202010201022           	23	1454.1233	2012-10-01
0202010201023           	23	1454.1233	2012-10-01
0202010201024           	23	1454.1233	2012-10-01
0202010201025           	23	1454.1233	2012-10-01
0202010201026           	23	967.2231	2012-10-01
0202010201027           	23	967.2231	2012-10-01
0202010201028           	23	967.2231	2012-10-01
0202010201029           	23	967.2231	2012-10-01
0202010201034           	23	2482.8809	2012-10-01
0202010201035           	23	2482.8809	2012-10-01
0202010201036           	23	2482.8809	2012-10-01
0202010201037           	23	2482.8809	2012-10-01
0202010201038           	23	1407.7897	2012-10-01
0202010201039           	23	1407.7897	2012-10-01
0202010201040           	23	1407.7897	2012-10-01
0202010201041           	23	1407.7897	2012-10-01
0202010201046           	23	3336.2052	2012-10-01
0202010201047           	23	3336.2052	2012-10-01
0202010201048           	23	3336.2052	2012-10-01
0202010201049           	23	3336.2052	2012-10-01
0202010201050           	23	2535.6108	2012-10-01
0202020202002           	23	229.1599	2012-10-01
0202020202003           	23	386.4061	2012-10-01
0202020202004           	23	356.442	2012-10-01
0202020202005           	23	326.5431	2012-10-01
0202020202006           	23	287.9408	2012-10-01
0202020202008           	23	298.5332	2012-10-01
0202020202009           	23	272.1936	2012-10-01
0202020202011           	23	380.1527	2012-10-01
0202020202012           	23	188.969	2012-10-01
0202020202013           	23	219.1936	2012-10-01
0202020202015           	23	229.1599	2012-10-01
0202020202016           	23	386.4061	2012-10-01
0202020202017           	23	356.442	2012-10-01
0202020202018           	23	326.5431	2012-10-01
0202020202019           	23	287.9408	2012-10-01
0202020202021           	23	298.5332	2012-10-01
0202020202022           	23	272.1936	2012-10-01
0202020202024           	23	380.1527	2012-10-01
0202020202025           	23	188.969	2012-10-01
0202020202026           	23	219.1936	2012-10-01
0202030203001           	23	1742.0641	2012-10-01
0202030203002           	23	2093.8364	2012-10-01
0202030203003           	23	992.9829	2012-10-01
0202030203004           	23	1858.3662	2012-10-01
0202030203005           	23	896.3162	2012-10-01
0202030203006           	23	995.9793	2012-10-01
0202030203008           	23	1654.7902	2012-10-01
0202030203009           	23	1596.6708	2012-10-01
0202030203010           	23	2032.8508	2012-10-01
0202030203011           	23	2063.9375	2012-10-01
0202030203012           	23	1674.1422	2012-10-01
0202030203014           	23	1742.0641	2012-10-01
0202030203015           	23	1704.4339	2012-10-01
0202030203016           	23	1734.3979	2012-10-01
0202030203017           	23	1742.0641	2012-10-01
0202030203018           	23	2093.8364	2012-10-01
0202030203019           	23	992.9829	2012-10-01
0202030203020           	23	1858.3662	2012-10-01
0202030203021           	23	896.3162	2012-10-01
0202030203022           	23	995.9793	2012-10-01
0202030203024           	23	1654.7902	2012-10-01
0202030203025           	23	1596.6708	2012-10-01
0202030203026           	23	2032.8508	2012-10-01
0202030203027           	23	2063.9375	2012-10-01
0202030203028           	23	1674.1422	2012-10-01
0202030203030           	23	1742.0641	2012-10-01
0202030203031           	23	1704.4339	2012-10-01
0202030203032           	23	1734.3979	2012-10-01
0202030203033           	23	1742.0641	2012-10-01
0202030203034           	23	2093.8364	2012-10-01
0202030203035           	23	992.9829	2012-10-01
0202030203036           	23	1858.3662	2012-10-01
0202030203037           	23	896.3162	2012-10-01
0202030203038           	23	995.9793	2012-10-01
0202030203040           	23	1654.7902	2012-10-01
0202030203041           	23	1596.6708	2012-10-01
0202030203042           	23	2032.8508	2012-10-01
0202030203043           	23	2063.9375	2012-10-01
0202030203044           	23	1674.1422	2012-10-01
0202030203046           	23	1742.0641	2012-10-01
0202030203047           	23	1704.4339	2012-10-01
0202030203048           	23	1734.3979	2012-10-01
0202030203049           	23	992.9829	2012-10-01
0202030203050           	23	1092.5808	2012-10-01
0202030203051           	23	1918.6118	2012-10-01
0202030203052           	23	1358.2838	2012-10-01
0202030203053           	23	1285.0673	2012-10-01
0202030203054           	23	1422.1229	2012-10-01
0202030203055           	23	1092.5808	2012-10-01
0202030203056           	23	985.8795	2012-10-01
0202030203057           	23	1195.2403	2012-10-01
0202030203058           	23	660.9029	2012-10-01
0202030203059           	23	1538.4881	2012-10-01
0202030203060           	23	1594.088	2012-10-01
0202030203061           	23	1160.7437	2012-10-01
0202030203062           	23	992.9829	2012-10-01
0202030203063           	23	1092.5808	2012-10-01
0202030203064           	23	1918.6118	2012-10-01
0202030203065           	23	1358.2838	2012-10-01
0202030203066           	23	1285.0673	2012-10-01
0202030203067           	23	1422.1229	2012-10-01
0202030203068           	23	1092.5808	2012-10-01
0202030203069           	23	985.8795	2012-10-01
0202030203070           	23	1195.2403	2012-10-01
0202030203071           	23	660.9029	2012-10-01
0202030203072           	23	1538.4881	2012-10-01
0202030203073           	23	1594.088	2012-10-01
0202030203074           	23	1160.7437	2012-10-01
0202030203075           	23	992.9829	2012-10-01
0202030203076           	23	1092.5808	2012-10-01
0202030203077           	23	1918.6118	2012-10-01
0202030203078           	23	1358.2838	2012-10-01
0202030203079           	23	1285.0673	2012-10-01
0202030203080           	23	1422.1229	2012-10-01
0202030203081           	23	1092.5808	2012-10-01
0202030203082           	23	985.8795	2012-10-01
0202030203083           	23	1195.2403	2012-10-01
0202030203084           	23	660.9029	2012-10-01
0202030203085           	23	1538.4881	2012-10-01
0202030203086           	23	1594.088	2012-10-01
0202030203087           	23	1160.7437	2012-10-01
0202030203088           	23	992.9829	2012-10-01
0202030203089           	23	1092.5808	2012-10-01
0202030203090           	23	1918.6118	2012-10-01
0202030203091           	23	1358.2838	2012-10-01
0202030203092           	23	1285.0673	2012-10-01
0202030203093           	23	1422.1229	2012-10-01
0202030203094           	23	1092.5808	2012-10-01
0202030203095           	23	985.8795	2012-10-01
0202030203096           	23	1195.2403	2012-10-01
0202030203097           	23	660.9029	2012-10-01
0202030203098           	23	1538.4881	2012-10-01
0202030203099           	23	1594.088	2012-10-01
0202030203100           	23	1160.7437	2012-10-01
0202050205001           	23	1497.747	2012-10-01
0202050205002           	23	1494.7506	2012-10-01
0202050205003           	23	992.9829	2012-10-01
0202050205004           	23	926.5408	2012-10-01
0202050205005           	23	860.1639	2012-10-01
0202050205006           	23	893.3198	2012-10-01
0202050205007           	23	1026.2039	2012-10-01
0202050205008           	23	660.9029	2012-10-01
0202050205009           	23	727.2798	2012-10-01
0202050205010           	23	1059.4249	2012-10-01
0202050205012           	23	1820.8637	2012-10-01
0202050205013           	23	2093.8364	2012-10-01
0202050205014           	23	985.557	2012-10-01
0202050205015           	23	1105.3481	2012-10-01
0202050205016           	23	1105.3481	2012-10-01
0202050205017           	23	1497.747	2012-10-01
0202050205018           	23	1494.7506	2012-10-01
0202050205019           	23	992.9829	2012-10-01
0202050205020           	23	926.5408	2012-10-01
0202050205021           	23	860.1639	2012-10-01
0202050205022           	23	893.3198	2012-10-01
0202050205023           	23	1026.2039	2012-10-01
0202050205024           	23	660.9029	2012-10-01
0202050205025           	23	727.2798	2012-10-01
0202050205026           	23	1059.4249	2012-10-01
0202050205028           	23	1820.8637	2012-10-01
0202050205029           	23	2093.8364	2012-10-01
0202050205030           	23	985.557	2012-10-01
0202050205031           	23	1105.3481	2012-10-01
0202050205032           	23	1105.3481	2012-10-01
0202050205033           	23	1497.747	2012-10-01
0202050205034           	23	1494.7506	2012-10-01
0202050205035           	23	992.9829	2012-10-01
0202050205036           	23	926.5408	2012-10-01
0202050205037           	23	860.1639	2012-10-01
0202050205038           	23	893.3198	2012-10-01
0202050205039           	23	1026.2039	2012-10-01
0202050205040           	23	660.9029	2012-10-01
0202050205041           	23	727.2798	2012-10-01
0202050205042           	23	1059.4249	2012-10-01
0202050205044           	23	1820.8637	2012-10-01
0202050205045           	23	2093.8364	2012-10-01
