Product_ID	CurrencyKey	UnitPrice	SCD_EffectiveDate
0101010101001           	23	82.2137	2012-01-01
0101010101002           	23	82.2137	2012-01-01
0101010101003           	23	91.8971	2012-01-01
0101010101004           	23	136.5165	2012-01-01
0101010101005           	23	136.5165	2012-01-01
0101010101006           	23	136.5165	2012-01-01
0101010101007           	23	136.5165	2012-01-01
0101010101008           	23	379.6767	2012-01-01
0101010101009           	23	379.6767	2012-01-01
0101010101010           	23	379.6767	2012-01-01
0101010101011           	23	379.6767	2012-01-01
0101010101012           	23	491.6367	2012-01-01
0101010101013           	23	491.6367	2012-01-01
0101010101014           	23	491.6367	2012-01-01
0101010101015           	23	491.6367	2012-01-01
0101010101037           	23	1893.8267	2012-01-01
0101010101038           	23	1893.8267	2012-01-01
0101010101039           	23	1893.8267	2012-01-01
0101010101040           	23	1893.8267	2012-01-01
0101040104001           	23	949.0335	2012-01-01
0101040104002           	23	949.0335	2012-01-01
0101040104003           	23	949.0335	2012-01-01
0101040104004           	23	1265.4836	2012-01-01
0101040104005           	23	1265.4836	2012-01-01
0101040104006           	23	1265.4836	2012-01-01
0101040104007           	23	1265.4836	2012-01-01
0101060106001           	23	162.592	2012-01-01
0101060106002           	23	162.592	2012-01-01
0101060106003           	23	162.592	2012-01-01
0101060106004           	23	162.592	2012-01-01
0101060106005           	23	303.4756	2012-01-01
0101060106006           	23	303.4756	2012-01-01
0101060106007           	23	303.4756	2012-01-01
0101060106008           	23	303.4756	2012-01-01
0101060106010           	23	240.1856	2012-01-01
0101060106011           	23	240.1856	2012-01-01
0101060106012           	23	240.1856	2012-01-01
0101060106028           	23	426.5746	2012-01-01
0101060106029           	23	426.5746	2012-01-01
0101060106030           	23	426.5746	2012-01-01
0101060106031           	23	426.5746	2012-01-01
0101060106032           	23	426.5746	2012-01-01
0202010201001           	23	1075.8667	2012-01-01
0202010201002           	23	1075.8667	2012-01-01
0202010201003           	23	1075.8667	2012-01-01
0202010201004           	23	759.4167	2012-01-01
0202010201005           	23	759.4167	2012-01-01
0202010201006           	23	759.4167	2012-01-01
0202010201007           	23	1772.0567	2012-01-01
0202010201008           	23	1772.0567	2012-01-01
0202010201009           	23	1772.0567	2012-01-01
0202010201010           	23	907.5786	2012-01-01
0202010201011           	23	907.5786	2012-01-01
0202010201012           	23	907.5786	2012-01-01
0202010201013           	23	907.5786	2012-01-01
0202010201014           	23	1265.80	2012-01-01
0202010201015           	23	1265.80	2012-01-01
0202010201016           	23	1265.80	2012-01-01
0202010201017           	23	1265.80	2012-01-01
0202010201018           	23	2214.8336	2012-01-01
0202010201019           	23	2214.8336	2012-01-01
0202010201020           	23	2214.8336	2012-01-01
0202010201021           	23	2214.8336	2012-01-01
0202010201038           	23	2974.4401	2012-01-01
0202010201039           	23	2974.4401	2012-01-01
0202010201040           	23	2974.4401	2012-01-01
0202010201041           	23	2974.4401	2012-01-01
0202010201050           	23	4832.2548	2012-01-01
0202020202002           	23	436.701	2012-01-01
0202020202004           	23	753.151	2012-01-01
0202020202005           	23	689.861	2012-01-01
0202020202011           	23	803.1501	2012-01-01
0202020202012           	23	360.1201	2012-01-01
0202020202013           	23	417.714	2012-01-01
0202020202015           	23	436.701	2012-01-01
0202020202017           	23	753.151	2012-01-01
0202020202018           	23	689.861	2012-01-01
0202020202024           	23	803.1501	2012-01-01
0202020202025           	23	360.1201	2012-01-01
0202020202026           	23	417.714	2012-01-01
0202030203003           	23	1892.371	2012-01-01
0202030203005           	23	1708.1971	2012-01-01
0202030203006           	23	1898.0671	2012-01-01
0202030203011           	23	4360.681	2012-01-01
0202030203015           	23	3601.201	2012-01-01
0202030203019           	23	1892.371	2012-01-01
0202030203021           	23	1708.1971	2012-01-01
0202030203022           	23	1898.0671	2012-01-01
0202030203027           	23	4360.681	2012-01-01
0202030203031           	23	3601.201	2012-01-01
0202030203035           	23	1892.371	2012-01-01
0202030203037           	23	1708.1971	2012-01-01
0202030203038           	23	1898.0671	2012-01-01
0202030203043           	23	4360.681	2012-01-01
0202030203047           	23	3601.201	2012-01-01
0202030203049           	23	1892.371	2012-01-01
0202030203050           	23	2082.241	2012-01-01
0202030203051           	23	5626.481	2012-01-01
0202030203052           	23	2588.561	2012-01-01
0202030203053           	23	2715.141	2012-01-01
0202030203055           	23	2082.241	2012-01-01
0202030203057           	23	2525.271	2012-01-01
0202030203058           	23	1259.471	2012-01-01
0202030203060           	23	3037.92	2012-01-01
0202030203062           	23	1892.371	2012-01-01
0202030203063           	23	2082.241	2012-01-01
0202030203064           	23	5626.481	2012-01-01
0202030203065           	23	2588.561	2012-01-01
0202030203066           	23	2715.141	2012-01-01
0202030203068           	23	2082.241	2012-01-01
0202030203070           	23	2525.271	2012-01-01
0202030203071           	23	1259.471	2012-01-01
0202030203073           	23	3037.92	2012-01-01
0202030203075           	23	1892.371	2012-01-01
0202030203076           	23	2082.241	2012-01-01
0202030203077           	23	5626.481	2012-01-01
0202030203078           	23	2588.561	2012-01-01
0202030203079           	23	2715.141	2012-01-01
0202030203081           	23	2082.241	2012-01-01
0202030203083           	23	2525.271	2012-01-01
0202030203084           	23	1259.471	2012-01-01
0202030203086           	23	3037.92	2012-01-01
0202030203088           	23	1892.371	2012-01-01
0202030203089           	23	2082.241	2012-01-01
0202030203090           	23	5626.481	2012-01-01
0202030203091           	23	2588.561	2012-01-01
0202030203092           	23	2715.141	2012-01-01
0202030203094           	23	2082.241	2012-01-01
0202030203096           	23	2525.271	2012-01-01
0202030203097           	23	1259.471	2012-01-01
0202030203099           	23	3037.92	2012-01-01
0202050205001           	23	3164.50	2012-01-01
0202050205002           	23	3158.171	2012-01-01
