Product_ID	CurrencyKey	UnitCost	SCD_EffectiveDate
0101010101001           	23	41.898	2012-01-01
0101010101002           	23	41.898	2012-01-01
0101010101003           	23	46.8346	2012-01-01
0101010101004           	23	69.619	2012-01-01
0101010101005           	23	69.619	2012-01-01
0101010101006           	23	69.619	2012-01-01
0101010101007           	23	69.619	2012-01-01
0101010101008           	23	193.5408	2012-01-01
0101010101009           	23	193.5408	2012-01-01
0101010101010           	23	193.5408	2012-01-01
0101010101011           	23	193.5408	2012-01-01
0101010101012           	23	226.0719	2012-01-01
0101010101013           	23	226.0719	2012-01-01
0101010101014           	23	226.0719	2012-01-01
0101010101015           	23	226.0719	2012-01-01
0101010101037           	23	627.4571	2012-01-01
0101010101038           	23	627.4571	2012-01-01
0101010101039           	23	627.4571	2012-01-01
0101010101040           	23	627.4571	2012-01-01
0101040104001           	23	483.8521	2012-01-01
0101040104002           	23	483.8521	2012-01-01
0101040104003           	23	483.8521	2012-01-01
0101040104004           	23	581.9516	2012-01-01
0101040104005           	23	581.9516	2012-01-01
0101040104006           	23	581.9516	2012-01-01
0101040104007           	23	581.9516	2012-01-01
0101060106001           	23	82.9099	2012-01-01
0101060106002           	23	82.9099	2012-01-01
0101060106003           	23	82.9099	2012-01-01
0101060106004           	23	82.9099	2012-01-01
0101060106005           	23	139.5545	2012-01-01
0101060106006           	23	139.5545	2012-01-01
0101060106007           	23	139.5545	2012-01-01
0101060106008           	23	139.5545	2012-01-01
0101060106010           	23	110.4411	2012-01-01
0101060106011           	23	110.4411	2012-01-01
0101060106012           	23	110.4411	2012-01-01
0101060106013           	23	118.0358	2012-01-01
0101060106014           	23	118.0358	2012-01-01
0101060106015           	23	118.0358	2012-01-01
0101060106016           	23	118.0358	2012-01-01
0101060106017           	23	118.0358	2012-01-01
0101060106028           	23	217.4644	2012-01-01
0101060106029           	23	217.4644	2012-01-01
0101060106030           	23	217.4644	2012-01-01
0101060106031           	23	217.4644	2012-01-01
0101060106032           	23	217.4644	2012-01-01
0202010201001           	23	548.5344	2012-01-01
0202010201002           	23	548.5344	2012-01-01
0202010201003           	23	548.5344	2012-01-01
0202010201004           	23	387.1449	2012-01-01
0202010201005           	23	387.1449	2012-01-01
