Brand_ID,CurrencyKey,UnitPrice,SCD_EffectiveDate
ctoso0000273            ,7,11.1039,2014-07-01
ctoso0000274            ,7,11.1039,2014-07-01
ctoso0000275            ,7,12.4117,2014-07-01
ctoso0000276            ,7,18.4381,2014-07-01
ctoso0000277            ,7,18.4381,2014-07-01
ctoso0000278            ,7,18.4381,2014-07-01
ctoso0000279            ,7,18.4381,2014-07-01
ctoso0000280            ,7,51.2796,2014-07-01
ctoso0000281            ,7,51.2796,2014-07-01
ctoso0000282            ,7,51.2796,2014-07-01
ctoso0000283            ,7,51.2796,2014-07-01
ctoso0000284            ,7,66.401,2014-07-01
ctoso0000285            ,7,66.401,2014-07-01
ctoso0000286            ,7,66.401,2014-07-01
ctoso0000287            ,7,66.401,2014-07-01
ctoso0000288            ,7,87.5591,2014-07-01
ctoso0000289            ,7,87.5591,2014-07-01
ctoso0000290            ,7,87.5591,2014-07-01
ctoso0000291            ,7,87.5591,2014-07-01
ctoso0000292            ,7,106.7114,2014-07-01
ctoso0000293            ,7,106.7114,2014-07-01
ctoso0000294            ,7,106.7114,2014-07-01
ctoso0000295            ,7,106.7114,2014-07-01
ctoso0000296            ,7,151.8888,2014-07-01
ctoso0000297            ,7,151.8888,2014-07-01
ctoso0000298            ,7,151.8888,2014-07-01
ctoso0000299            ,7,151.8888,2014-07-01
ctoso0000300            ,7,151.8888,2014-07-01
ctoso0000301            ,7,203.0703,2014-07-01
ctoso0000302            ,7,203.0703,2014-07-01
ctoso0000303            ,7,203.0703,2014-07-01
ctoso0000304            ,7,203.0703,2014-07-01
ctoso0000305            ,7,203.0703,2014-07-01
ctoso0000306            ,7,76.4102,2014-07-01
ctoso0000307            ,7,76.4102,2014-07-01
ctoso0000308            ,7,76.4102,2014-07-01
ctoso0000309            ,7,255.7824,2014-07-01
ctoso0000310            ,7,255.7824,2014-07-01
ctoso0000311            ,7,255.7824,2014-07-01
ctoso0000312            ,7,255.7824,2014-07-01
ctoso0000313            ,7,176.2792,2014-07-01
ctoso0000314            ,7,176.2792,2014-07-01
ctoso0000315            ,7,176.2792,2014-07-01
