Brand_ID,CurrencyKey,UnitPrice,SCD_EffectiveDate
ctoso0000273            ,7,10.8614,2013-07-01
ctoso0000274            ,7,10.8614,2013-07-01
ctoso0000275            ,7,12.1407,2013-07-01
ctoso0000276            ,7,18.0355,2013-07-01
ctoso0000277            ,7,18.0355,2013-07-01
ctoso0000278            ,7,18.0355,2013-07-01
ctoso0000279            ,7,18.0355,2013-07-01
ctoso0000280            ,7,50.16,2013-07-01
ctoso0000281            ,7,50.16,2013-07-01
ctoso0000282            ,7,50.16,2013-07-01
ctoso0000283            ,7,50.16,2013-07-01
ctoso0000284            ,7,64.9513,2013-07-01
ctoso0000285            ,7,64.9513,2013-07-01
ctoso0000286            ,7,64.9513,2013-07-01
ctoso0000287            ,7,64.9513,2013-07-01
ctoso0000288            ,7,87.7164,2013-07-01
ctoso0000289            ,7,87.7164,2013-07-01
ctoso0000290            ,7,87.7164,2013-07-01
ctoso0000291            ,7,87.7164,2013-07-01
ctoso0000292            ,7,106.9031,2013-07-01
ctoso0000293            ,7,106.9031,2013-07-01
ctoso0000294            ,7,106.9031,2013-07-01
ctoso0000295            ,7,106.9031,2013-07-01
ctoso0000296            ,7,153.3433,2013-07-01
ctoso0000297            ,7,153.3433,2013-07-01
ctoso0000298            ,7,153.3433,2013-07-01
ctoso0000299            ,7,153.3433,2013-07-01
ctoso0000300            ,7,153.3433,2013-07-01
ctoso0000301            ,7,203.4349,2013-07-01
ctoso0000302            ,7,203.4349,2013-07-01
ctoso0000303            ,7,203.4349,2013-07-01
ctoso0000304            ,7,203.4349,2013-07-01
ctoso0000305            ,7,203.4349,2013-07-01
ctoso0000306            ,7,76.5474,2013-07-01
ctoso0000307            ,7,76.5474,2013-07-01
ctoso0000308            ,7,76.5474,2013-07-01
ctoso0000309            ,7,250.1979,2013-07-01
ctoso0000310            ,7,250.1979,2013-07-01
ctoso0000311            ,7,250.1979,2013-07-01
ctoso0000312            ,7,250.1979,2013-07-01
ctoso0000313            ,7,177.9672,2013-07-01
ctoso0000314            ,7,177.9672,2013-07-01
ctoso0000315            ,7,177.9672,2013-07-01
ctoso0000316            ,7,177.9672,2013-07-01
ctoso0000317            ,7,177.9672,2013-07-01
wwim 0000001            ,7,125.379,2013-07-01
wwim 0000002            ,7,125.379,2013-07-01
wwim 0000003            ,7,125.379,2013-07-01
wwim 0000004            ,7,167.186,2013-07-01
wwim 0000005            ,7,167.186,2013-07-01
wwim 0000006            ,7,167.186,2013-07-01
wwim 0000007            ,7,167.186,2013-07-01
wwim 0000008            ,7,236.1441,2013-07-01
wwim 0000009            ,7,236.1441,2013-07-01
wwim 0000010            ,7,236.1441,2013-07-01
wwim 0000011            ,7,236.1441,2013-07-01
wwim 0000012            ,7,124.4543,2013-07-01
wwim 0000013            ,7,124.4543,2013-07-01
wwim 0000014            ,7,124.4543,2013-07-01
wwim 0000015            ,7,124.4543,2013-07-01
wwim 0000016            ,7,138.8451,2013-07-01
wwim 0000017            ,7,138.8451,2013-07-01
wwim 0000018            ,7,138.8451,2013-07-01
wwim 0000019            ,7,138.8451,2013-07-01
wwim 0000020            ,7,138.8451,2013-07-01
ntrad0000001            ,7,21.4804,2013-07-01
ntrad0000002            ,7,21.4804,2013-07-01
ntrad0000003            ,7,21.4804,2013-07-01
ntrad0000004            ,7,21.4804,2013-07-01
ntrad0000005            ,7,40.0929,2013-07-01
ntrad0000006            ,7,40.0929,2013-07-01
ntrad0000007            ,7,40.0929,2013-07-01
ntrad0000008            ,7,40.0929,2013-07-01
ntrad0000009            ,7,30.2759,2013-07-01
ntrad0000010            ,7,31.7315,2013-07-01
ntrad0000011            ,7,31.7315,2013-07-01
ntrad0000012            ,7,31.7315,2013-07-01
ntrad0000013            ,7,32.3501,2013-07-01
ntrad0000014            ,7,32.3501,2013-07-01
ntrad0000015            ,7,32.3501,2013-07-01
ntrad0000016            ,7,32.3501,2013-07-01
ntrad0000017            ,7,32.3501,2013-07-01
ntrad0000018            ,7,79.7704,2013-07-01
ntrad0000019            ,7,79.7704,2013-07-01
ntrad0000020            ,7,79.7704,2013-07-01
ntrad0000021            ,7,79.7704,2013-07-01
ntrad0000022            ,7,79.7704,2013-07-01
ntrad0000023            ,7,115.0573,2013-07-01
ntrad0000024            ,7,115.0573,2013-07-01
ntrad0000025            ,7,115.0573,2013-07-01
ntrad0000026            ,7,115.0573,2013-07-01
ntrad0000027            ,7,115.0573,2013-07-01
wwim 0000021            ,7,56.3558,2013-07-01
wwim 0000022            ,7,56.3558,2013-07-01
wwim 0000023            ,7,56.3558,2013-07-01
wwim 0000024            ,7,56.3558,2013-07-01
wwim 0000025            ,7,56.3558,2013-07-01
wwim 0000026            ,7,92.052,2013-07-01
wwim 0000027            ,7,92.052,2013-07-01
wwim 0000028            ,7,92.052,2013-07-01
wwim 0000029            ,7,92.052,2013-07-01
wwim 0000030            ,7,88.2165,2013-07-01
wwim 0000031            ,7,88.2165,2013-07-01
wwim 0000032            ,7,88.2165,2013-07-01
wwim 0000033            ,7,88.2165,2013-07-01
wwim 0000034            ,7,102.0166,2013-07-01
wwim 0000035            ,7,102.0166,2013-07-01
wwim 0000036            ,7,102.0166,2013-07-01
wwim 0000037            ,7,102.0166,2013-07-01
wwim 0000038            ,7,102.0166,2013-07-01
wwim 0000039            ,7,199.438,2013-07-01
wwim 0000040            ,7,199.438,2013-07-01
wwim 0000041            ,7,199.438,2013-07-01
wwim 0000042            ,7,199.438,2013-07-01
wwim 0000043            ,7,199.438,2013-07-01
advwk0000001            ,7,142.1353,2013-07-01
advwk0000002            ,7,142.1353,2013-07-01
advwk0000003            ,7,142.1353,2013-07-01
advwk0000004            ,7,100.3283,2013-07-01
advwk0000005            ,7,100.3283,2013-07-01
advwk0000006            ,7,100.3283,2013-07-01
advwk0000007            ,7,234.1106,2013-07-01
advwk0000008            ,7,234.1106,2013-07-01
advwk0000009            ,7,234.1106,2013-07-01
advwk0000010            ,7,119.9023,2013-07-01
advwk0000011            ,7,119.9023,2013-07-01
advwk0000012            ,7,119.9023,2013-07-01
advwk0000013            ,7,119.9023,2013-07-01
advwk0000014            ,7,167.2278,2013-07-01
advwk0000015            ,7,167.2278,2013-07-01
advwk0000016            ,7,167.2278,2013-07-01
advwk0000017            ,7,167.2278,2013-07-01
advwk0000018            ,7,292.6068,2013-07-01
advwk0000019            ,7,292.6068,2013-07-01
advwk0000020            ,7,292.6068,2013-07-01
advwk0000021            ,7,292.6068,2013-07-01
advwk0000022            ,7,398.884,2013-07-01
advwk0000023            ,7,398.884,2013-07-01
advwk0000024            ,7,398.884,2013-07-01
advwk0000025            ,7,398.884,2013-07-01
advwk0000026            ,7,239.3272,2013-07-01
advwk0000027            ,7,239.3272,2013-07-01
advwk0000028            ,7,239.3272,2013-07-01
advwk0000029            ,7,239.3272,2013-07-01
advwk0000030            ,7,2224.5823,2013-07-01
advwk0000031            ,7,2224.5823,2013-07-01
advwk0000032            ,7,2224.5823,2013-07-01
advwk0000033            ,7,2224.5823,2013-07-01
advwk0000034            ,7,945.3501,2013-07-01
advwk0000035            ,7,945.3501,2013-07-01
advwk0000036            ,7,945.3501,2013-07-01
advwk0000037            ,7,945.3501,2013-07-01
advwk0000038            ,7,392.9602,2013-07-01
advwk0000039            ,7,392.9602,2013-07-01
advwk0000040            ,7,392.9602,2013-07-01
advwk0000041            ,7,392.9602,2013-07-01
advwk0000042            ,7,843.8023,2013-07-01
advwk0000043            ,7,843.8023,2013-07-01
advwk0000044            ,7,843.8023,2013-07-01
advwk0000045            ,7,843.8023,2013-07-01
advwk0000046            ,7,1270.2317,2013-07-01
advwk0000047            ,7,1270.2317,2013-07-01
advwk0000048            ,7,1270.2317,2013-07-01
advwk0000049            ,7,1270.2317,2013-07-01
advwk0000050            ,7,638.4005,2013-07-01
svido0000048            ,7,57.6936,2013-07-01
svido0000049            ,7,102.9141,2013-07-01
svido0000050            ,7,99.5005,2013-07-01
svido0000051            ,7,91.1392,2013-07-01
svido0000052            ,7,78.9806,2013-07-01
svido0000053            ,7,129.6399,2013-07-01
svido0000054            ,7,71.7208,2013-07-01
svido0000055            ,7,103.6321,2013-07-01
svido0000056            ,7,89.674,2013-07-01
svido0000057            ,7,106.106,2013-07-01
svido0000058            ,7,47.5763,2013-07-01
svido0000059            ,7,55.1852,2013-07-01
svido0000061            ,7,57.6936,2013-07-01
svido0000062            ,7,102.9141,2013-07-01
svido0000063            ,7,99.5005,2013-07-01
svido0000064            ,7,91.1392,2013-07-01
svido0000065            ,7,78.9806,2013-07-01
svido0000066            ,7,129.6399,2013-07-01
svido0000067            ,7,71.7208,2013-07-01
svido0000068            ,7,103.6321,2013-07-01
svido0000069            ,7,89.674,2013-07-01
svido0000070            ,7,106.106,2013-07-01
svido0000071            ,7,47.5763,2013-07-01
svido0000072            ,7,55.1852,2013-07-01
litwr0000217            ,7,477.8726,2013-07-01
litwr0000218            ,7,557.651,2013-07-01
litwr0000219            ,7,250.0056,2013-07-01
litwr0000220            ,7,509.784,2013-07-01
litwr0000221            ,7,225.6739,2013-07-01
litwr0000222            ,7,250.7581,2013-07-01
litwr0000223            ,7,459.4929,2013-07-01
litwr0000224            ,7,436.4799,2013-07-01
litwr0000225            ,7,421.1379,2013-07-01
litwr0000226            ,7,557.651,2013-07-01
litwr0000227            ,7,576.0998,2013-07-01
litwr0000228            ,7,637.4294,2013-07-01
litwr0000229            ,7,850.7139,2013-07-01
litwr0000230            ,7,477.8726,2013-07-01
litwr0000231            ,7,475.7631,2013-07-01
litwr0000232            ,7,461.9169,2013-07-01
litwr0000233            ,7,477.8726,2013-07-01
litwr0000234            ,7,557.651,2013-07-01
litwr0000235            ,7,250.0056,2013-07-01
litwr0000236            ,7,509.784,2013-07-01
litwr0000237            ,7,225.6739,2013-07-01
litwr0000238            ,7,250.7581,2013-07-01
litwr0000239            ,7,459.4929,2013-07-01
litwr0000240            ,7,436.4799,2013-07-01
litwr0000241            ,7,421.1379,2013-07-01
litwr0000242            ,7,557.651,2013-07-01
litwr0000243            ,7,576.0998,2013-07-01
litwr0000244            ,7,637.4294,2013-07-01
litwr0000245            ,7,850.7139,2013-07-01
litwr0000246            ,7,477.8726,2013-07-01
litwr0000247            ,7,475.7631,2013-07-01
litwr0000248            ,7,461.9169,2013-07-01
litwr0000249            ,7,477.8726,2013-07-01
litwr0000250            ,7,557.651,2013-07-01
litwr0000251            ,7,250.0056,2013-07-01
litwr0000252            ,7,509.784,2013-07-01
litwr0000253            ,7,225.6739,2013-07-01
