Product_ID	CurrencyKey	UnitPrice	SCD_EffectiveDate
0101010101001           	23	87.465	2013-07-01
0101010101002           	23	87.465	2013-07-01
0101010101003           	23	97.7669	2013-07-01
0101010101004           	23	145.2364	2013-07-01
0101010101005           	23	145.2364	2013-07-01
0101010101006           	23	145.2364	2013-07-01
0101010101007           	23	145.2364	2013-07-01
0101010101008           	23	403.9281	2013-07-01
0101010101009           	23	403.9281	2013-07-01
0101010101010           	23	403.9281	2013-07-01
0101010101011           	23	403.9281	2013-07-01
0101010101012           	23	523.0394	2013-07-01
0101010101013           	23	523.0394	2013-07-01
0101010101014           	23	523.0394	2013-07-01
0101010101015           	23	523.0394	2013-07-01
0101010101016           	23	706.3619	2013-07-01
0101010101017           	23	706.3619	2013-07-01
0101010101018           	23	706.3619	2013-07-01
0101010101019           	23	706.3619	2013-07-01
0101010101020           	23	860.8685	2013-07-01
0101010101021           	23	860.8685	2013-07-01
0101010101022           	23	860.8685	2013-07-01
0101010101023           	23	860.8685	2013-07-01
0101010101024           	23	1234.8423	2013-07-01
0101010101025           	23	1234.8423	2013-07-01
0101010101026           	23	1234.8423	2013-07-01
0101010101027           	23	1234.8423	2013-07-01
0101010101028           	23	1234.8423	2013-07-01
0101010101029           	23	1638.22	2013-07-01
0101010101030           	23	1638.22	2013-07-01
0101010101031           	23	1638.22	2013-07-01
0101010101032           	23	1638.22	2013-07-01
0101010101033           	23	1638.22	2013-07-01
0101010101034           	23	616.4204	2013-07-01
0101010101035           	23	616.4204	2013-07-01
0101010101036           	23	616.4204	2013-07-01
0101010101037           	23	2014.7925	2013-07-01
0101010101038           	23	2014.7925	2013-07-01
0101010101039           	23	2014.7925	2013-07-01
0101010101040           	23	2014.7925	2013-07-01
0101010101041           	23	1433.1336	2013-07-01
0101010101042           	23	1433.1336	2013-07-01
0101010101043           	23	1433.1336	2013-07-01
0101010101044           	23	1433.1336	2013-07-01
0101010101045           	23	1433.1336	2013-07-01
0101040104001           	23	1009.6519	2013-07-01
0101040104002           	23	1009.6519	2013-07-01
0101040104003           	23	1009.6519	2013-07-01
0101040104004           	23	1346.3147	2013-07-01
0101040104005           	23	1346.3147	2013-07-01
0101040104006           	23	1346.3147	2013-07-01
0101040104007           	23	1346.3147	2013-07-01
0101040104008           	23	1901.62	2013-07-01
0101040104009           	23	1901.62	2013-07-01
0101040104010           	23	1901.62	2013-07-01
0101040104011           	23	1901.62	2013-07-01
0101040104012           	23	1002.2052	2013-07-01
0101040104013           	23	1002.2052	2013-07-01
0101040104014           	23	1002.2052	2013-07-01
0101040104015           	23	1002.2052	2013-07-01
0101040104016           	23	1118.0913	2013-07-01
0101040104017           	23	1118.0913	2013-07-01
0101040104018           	23	1118.0913	2013-07-01
0101040104019           	23	1118.0913	2013-07-01
0101040104020           	23	1118.0913	2013-07-01
0101060106001           	23	172.9774	2013-07-01
0101060106002           	23	172.9774	2013-07-01
0101060106003           	23	172.9774	2013-07-01
0101060106004           	23	172.9774	2013-07-01
0101060106005           	23	322.8597	2013-07-01
0101060106006           	23	322.8597	2013-07-01
0101060106007           	23	322.8597	2013-07-01
0101060106008           	23	322.8597	2013-07-01
0101060106009           	23	243.8057	2013-07-01
0101060106010           	23	255.5271	2013-07-01
0101060106011           	23	255.5271	2013-07-01
0101060106012           	23	255.5271	2013-07-01
0101060106013           	23	260.5091	2013-07-01
0101060106014           	23	260.5091	2013-07-01
0101060106015           	23	260.5091	2013-07-01
0101060106016           	23	260.5091	2013-07-01
0101060106017           	23	260.5091	2013-07-01
0101060106018           	23	642.375	2013-07-01
0101060106019           	23	642.375	2013-07-01
0101060106020           	23	642.375	2013-07-01
0101060106021           	23	642.375	2013-07-01
0101060106022           	23	642.375	2013-07-01
0101060106023           	23	926.5332	2013-07-01
0101060106024           	23	926.5332	2013-07-01
0101060106025           	23	926.5332	2013-07-01
0101060106026           	23	926.5332	2013-07-01
0101060106027           	23	926.5332	2013-07-01
0101060106028           	23	453.8215	2013-07-01
0101060106029           	23	453.8215	2013-07-01
0101060106030           	23	453.8215	2013-07-01
0101060106031           	23	453.8215	2013-07-01
0101060106032           	23	453.8215	2013-07-01
0101060106033           	23	741.276	2013-07-01
0101060106034           	23	741.276	2013-07-01
0101060106035           	23	741.276	2013-07-01
0101060106036           	23	741.276	2013-07-01
0101060106037           	23	710.3895	2013-07-01
0101060106038           	23	710.3895	2013-07-01
0101060106039           	23	710.3895	2013-07-01
0101060106040           	23	710.3895	2013-07-01
0101060106041           	23	821.5191	2013-07-01
0101060106042           	23	821.5191	2013-07-01
0101060106043           	23	821.5191	2013-07-01
0101060106044           	23	821.5191	2013-07-01
0101060106045           	23	821.5191	2013-07-01
0101060106046           	23	1606.0338	2013-07-01
0101060106047           	23	1606.0338	2013-07-01
0101060106048           	23	1606.0338	2013-07-01
0101060106049           	23	1606.0338	2013-07-01
0101060106050           	23	1606.0338	2013-07-01
0202010201001           	23	1144.5864	2013-07-01
0202010201002           	23	1144.5864	2013-07-01
0202010201003           	23	1144.5864	2013-07-01
0202010201004           	23	807.9235	2013-07-01
0202010201005           	23	807.9235	2013-07-01
0202010201006           	23	807.9235	2013-07-01
0202010201007           	23	1885.2446	2013-07-01
0202010201008           	23	1885.2446	2013-07-01
0202010201009           	23	1885.2446	2013-07-01
0202010201010           	23	965.5491	2013-07-01
0202010201011           	23	965.5491	2013-07-01
0202010201012           	23	965.5491	2013-07-01
0202010201013           	23	965.5491	2013-07-01
0202010201014           	23	1346.6514	2013-07-01
0202010201015           	23	1346.6514	2013-07-01
0202010201016           	23	1346.6514	2013-07-01
0202010201017           	23	1346.6514	2013-07-01
0202010201018           	23	2356.3033	2013-07-01
0202010201019           	23	2356.3033	2013-07-01
0202010201020           	23	2356.3033	2013-07-01
0202010201021           	23	2356.3033	2013-07-01
0202010201022           	23	3212.1318	2013-07-01
0202010201023           	23	3212.1318	2013-07-01
0202010201024           	23	3212.1318	2013-07-01
0202010201025           	23	3212.1318	2013-07-01
0202010201026           	23	1927.2534	2013-07-01
0202010201027           	23	1927.2534	2013-07-01
0202010201028           	23	1927.2534	2013-07-01
0202010201029           	23	1927.2534	2013-07-01
0202010201030           	23	17914.1082	2013-07-01
0202010201031           	23	17914.1082	2013-07-01
0202010201032           	23	17914.1082	2013-07-01
0202010201033           	23	17914.1082	2013-07-01
0202010201034           	23	7612.7118	2013-07-01
0202010201035           	23	7612.7118	2013-07-01
0202010201036           	23	7612.7118	2013-07-01
0202010201037           	23	7612.7118	2013-07-01
0202010201038           	23	3164.4288	2013-07-01
0202010201039           	23	3164.4288	2013-07-01
0202010201040           	23	3164.4288	2013-07-01
0202010201041           	23	3164.4288	2013-07-01
0202010201042           	23	6794.9682	2013-07-01
0202010201043           	23	6794.9682	2013-07-01
0202010201044           	23	6794.9682	2013-07-01
0202010201045           	23	6794.9682	2013-07-01
0202010201046           	23	10228.9169	2013-07-01
0202010201047           	23	10228.9169	2013-07-01
0202010201048           	23	10228.9169	2013-07-01
0202010201049           	23	10228.9169	2013-07-01
0202010201050           	23	5140.9091	2013-07-01
0202020202002           	23	464.5947	2013-07-01
0202020202003           	23	828.7466	2013-07-01
0202020202004           	23	801.2576	2013-07-01
0202020202005           	23	733.925	2013-07-01
0202020202006           	23	636.0148	2013-07-01
0202020202007           	23	1043.9637	2013-07-01
0202020202008           	23	577.5528	2013-07-01
0202020202009           	23	834.5285	2013-07-01
0202020202010           	23	722.1264	2013-07-01
0202020202011           	23	854.4503	2013-07-01
0202020202012           	23	383.1223	2013-07-01
0202020202013           	23	444.395	2013-07-01
0202020202015           	23	464.5947	2013-07-01
0202020202016           	23	828.7466	2013-07-01
0202020202017           	23	801.2576	2013-07-01
0202020202018           	23	733.925	2013-07-01
0202020202019           	23	636.0148	2013-07-01
0202020202020           	23	1043.9637	2013-07-01
0202020202021           	23	577.5528	2013-07-01
0202020202022           	23	834.5285	2013-07-01
0202020202023           	23	722.1264	2013-07-01
0202020202024           	23	854.4503	2013-07-01
0202020202025           	23	383.1223	2013-07-01
0202020202026           	23	444.395	2013-07-01
0202030203001           	23	3848.2108	2013-07-01
0202030203002           	23	4490.65	2013-07-01
0202030203003           	23	2013.2438	2013-07-01
0202030203004           	23	4105.1865	2013-07-01
0202030203005           	23	1817.3061	2013-07-01
0202030203006           	23	2019.3038	2013-07-01
0202030203007           	23	3700.2027	2013-07-01
0202030203008           	23	3514.8837	2013-07-01
0202030203009           	23	3391.3377	2013-07-01
0202030203010           	23	4490.65	2013-07-01
0202030203011           	23	4639.2141	2013-07-01
0202030203012           	23	5133.0892	2013-07-01
0202030203013           	23	6850.6257	2013-07-01
0202030203014           	23	3848.2108	2013-07-01
0202030203015           	23	3831.2232	2013-07-01
0202030203016           	23	3719.723	2013-07-01
0202030203017           	23	3848.2108	2013-07-01
0202030203018           	23	4490.65	2013-07-01
0202030203019           	23	2013.2438	2013-07-01
0202030203020           	23	4105.1865	2013-07-01
0202030203021           	23	1817.3061	2013-07-01
0202030203022           	23	2019.3038	2013-07-01
0202030203023           	23	3700.2027	2013-07-01
0202030203024           	23	3514.8837	2013-07-01
0202030203025           	23	3391.3377	2013-07-01
0202030203026           	23	4490.65	2013-07-01
0202030203027           	23	4639.2141	2013-07-01
0202030203028           	23	5133.0892	2013-07-01
